key,en,de,es,fr,zh
T_MEGASPRITE_DESCRIPTION,Grants random bonus to other enemies while alive.,Gewährt anderen Feinden einen zufälligen Bonus.,Concede una bonificación aleatoria a otros enemigos mientras estén vivos.,Confère un bonus aléatoire aux autres ennemis tant qu’il est en vie.,活着时对其他敌人给予随机奖励。
T_MEGASPRITE,Megasprite,Megasprite,Megasprite,Mégasprite,巨型精灵
T_MELEE_DIAGONAL,Diagonal,Diagonal,Diagonal,Diagonale,对角线
T_MELEE_DIAGONAL_DESCRIPTION,Diagonal AOE attack.,Diagonaler Flächenschaden.,Ataque diagonal (área),Attaque de zone en diagonale.,对角线范围性攻击。
T_MELEE_ANNIHILATION_DESCRIPTION,Damage pretty much everything around you.,Fügt so ziemlich allem um dich herum Schaden zu.,Inflige daño a todo lo a tu alrededor.,Endommage à peu près tout ce qui vous entoure.,破坏了你周围的几乎所有东西。
T_MELEE_ANNIHILATION,Melee Annihilation,Nahkampf-Vernichtung,Aniquilación cuerpo a cuerpo,Annihilation de mêlée,近战歼灭战
T_MELEE_BONUS_DESCRIPTION,Bonus damage for melee scripts.,Bonusschaden für Nahkampf-Skripte.,Bonificación de daño para scripts de ataques cuerpo a cuerpo.,Dégâts bonus pour les scripts de mêlée.,对近战脚本有额外的伤害。
T_MELEE_BONUS,Melee Bonus,Nahkampf-Bonus,Bonif. cuerpo a cuerpo,Bonus de mêlée,近战奖励
T_MELEE_CROSS_DESCRIPTION,Attack all cardinally adjacent enemies.,Greift alle kardinal benachbarten Gegner an.,Ataca en cruz a todos los enemigos cercanos.,Attaque tous les ennemis cardinalement adjacents.,攻击所有心形相邻的敌人。
T_MELEE_CROSS,Melee Cross,Nahkampf-Kreuz,Cuerpo a cuerpo (cruz),Croix de mêlée,近战十字架
T_MELEE_DOUBLE_DESCRIPTION,Attack two enemies in a line.,Greift zwei Feinde in einer Reihe an.,Ataca a dos enemigos en línea recta.,Attaque deux ennemis en ligne droite.,攻击一排的两个敌人。
T_MELEE_DOUBLE,Melee Double,Nahkampf-Doppel,Línea doble,Double Mêlée,近战双倍
T_MELEE_PUSH_DESCRIPTION,Push all cardinally adjacent enemies.,Stoße alle kardinal benachbarten Feinde.,Empuja a todos los enemigos adyacentes en cruz.,Pousse tous les ennemis cardinalement adjacents.,推动所有基质相邻的敌人。
T_MELEE_PUSH,Melee Push,Nahkampf-Schub,Empuje cuerpo a cuerpo,Poussée de Mêlée,近战推动
T_MELEE_ROUNDHOUSE_DESCRIPTION,Attack all adjacent enemies.,Greift alle benachbarten Feinde an.,Ataca a todos los enemigos adyacentes.,Attaque tous les ennemis adjacents.,攻击所有相邻的敌人。
T_MELEE_ROUNDHOUSE,Melee Roundhouse,Nahkampf Roundhouse,Barrido cuerpo a cuerpo,Retournée acrobatique,近战回旋枪
T_MELEE_TRIPLE_DESCRIPTION,Attack three enemies in a line.,Greift drei Feinde in einer Reihe an.,Ataca a tres enemigos en línea recta.,Attaque trois ennemis en ligne droite.,攻击一排的三个敌人。
T_MELEE_TRIPLE,Melee Triple,Nahkampf Dreier,Línea triple,Triple de mêlée,近战三连击
T_MENU,Menu,Menü,Menú,Menu,菜单
T_META_MASTERY_DESCRIPTION,Reach the maximum amount of this meta bonus.,Erreiche den maximalen Wert dieses Meta-Bonus.,Alcanza la cantidad máxima de esta bonificación de metas.,Atteindre la quantité maximale de ce bonus de Méta-maîtrise.,达到这个元宝奖励的最高数额。
T_META_GRANDMASTER,Meta Grandmaster,Meta-Großmeister,Gran maestro de metas,Grand-maître de Méta,元大师
T_META_GRANDMASTER_DESCRIPTION,Unlock all meta mastery achievements.,Schalte alle Meta-Meisterschaft-Errungenschaften frei.,Desbloquea todos los logros de maestría de metas.,Déverrouiller tous les succès de Méta-maîtrise.,解锁所有的元老级成就。
T_OVERCLOCKER,Overclocker,Übertakter,Pirateador,Overclockeur,超频者
T_OVERCLOCKER_DESCRIPTION,Beat the game on the maximum overclock level.,Besiege das Spiel auf der maximalen Übertaktungsstufe.,Completa el juego en el nivel máximo de pirateo.,Compléter le jeu avec le niveau d'overclock maximum.,在最大超频水平上获胜。
T_META_MASTERY_PUSH,Meta Mastery: Pushy,Meta-Meisterschaft: Schieber,Maestría de meta: Impaciente,Méta-maîtrise : Télékinétique,元老级：推动
T_META_MASTERY_EVADE,Meta Mastery: Untouchable,Meta-Meisterschaft: Unberührbar,Maestría de meta: Intocable,Méta-maîtrise : Intouchable,元老级：碰不得
T_META_MASTERY_CRIT,Meta Mastery: Critical,Meta-Meisterschaft: Kritisch,Maestría de meta: Crítico,Méta-maîtrise : Critique,元老级：关键
T_META_MASTERY_COUNTER,Meta Mastery: Vengeful,Meta-Beherrschung: Rachsüchtig,Maestría de meta: Vengativo,Méta-maîtrise : Vengeur,元老级：复仇
T_META_MASTERY_HIT,Meta Mastery: Impervious,Meta-Meisterschaft: Unerschütterlich,Maestría de meta: Impenetrable,Méta-maîtrise : Imperméable,元老级：不透光
T_META_MASTERY_MOVE,Meta Mastery: Dashing,Meta-Beherrschung: Rasend,Maestría de meta: Lanzado,Méta-maîtrise : Fringant,元老级：冲刺
T_META_MASTERY_AP,Meta Mastery: Expensive,Meta-Beherrschung: Teuer,Maestría de meta: Caro,Méta-maîtrise : Onéreux,元老级：昂贵的
T_META_BONUS,Meta Bonus,Meta-Bonus,Bonif. por meta,Méta-bonus,元奖励
T_META_RANDOM,Random,Zufällig,Aleatorio,Aléatoire,随机
T_META_PUSH,Pushy,Schubser,Impaciente,Télékinétique,急躁
T_META_PUSH_DESC,Gain kernels for every push script used.,Erhalte Kerne für jedes verwendete Schiebe-Skript.,Gana kernels por cada script de empuje utilizado.,Confère des Kernels pour chaque script de pousse utilisé.,为每个使用的推送脚本获得内核。
T_META_EVADE,Untouchable,Unberührbar,Intocable,Intouchable,不可触摸
T_META_EVADE_DESC,Gain kernels for every attack you evade.,"Erhalte Kerne für jeden Angriff, dem du ausweichst.",Gana kernels por cada ataque evadido.,Donne des Kernels pour chaque attaque que vous esquivez.,每躲避一次攻击，就能获得内核。
T_META_CRIT,Critical,Kritisch,Crítico,Critique,关键
T_META_CRIT_DESC,Gain kernels for every critical hit.,Erhält Kerne für jeden kritischen Treffer.,Gana kernels por cada golpe crítico infligido.,Donne des Kernels pour chaque coup critique délivré.,每一次致命一击都能获得内核。
T_META_COUNTER,Vengeful,Rachsüchtig,Vengativo,Revanchard,复仇
T_META_COUNTER_DESC,Gain kernels for every attack you counter.,"Erhalte Kerne für jeden Angriff, den du abwehrst.",Gana kernels por cada contraataque que hagas.,Donne des Kernels pour chaque riposte délivrée.,你每反击一次攻击，就能获得内核。
T_META_HIT,Impervious,Unverwundbar,Impenetrable,Imperméable,防水的
T_META_HIT_DESC,Gain kernels for every hit you take.,"Erhalte Kerne für jeden Treffer, den du einsteckst.",Gana kernels por cada golpe que recibas.,Donne des Kernels pour chaque coup qui vous est infligé.,每打一次就能获得内核。
T_META_MOVE,Dashing,Rasend,Lanzado,Fringant,潇洒的
T_META_MOVE_DESC,Gain kernels for every move script dealing damage.,"Erhalte Kerne für jedes Bewegungsskript, das Schaden verursacht.",Gana kernels por cada script de movimiento que inflija daño.,Donne des Kernels pour chaque script de mouvement infligeant des dégâts.,每一个造成伤害的动作脚本都会获得内核。
T_META_AP,Expensive,Teuer,Caro,Onéreux,昂贵的
T_META_AP_DESC,Gain kernels for every script using 2+ cycles.,"Erhält Kerne für jedes Skript, das 2+ Zyklen verbraucht.",Ganar kernels por cada script que use más de 2 ciclos.,Donne des Kernels pour chaque script utilisant 2 + cycles.,为每个使用2个以上循环的脚本获得内核。
T_MICRO_DESCRIPTION,Has a high counter chance and high evade chance.,Hat eine hohe Konterchance und eine hohe Ausweichchance.,Tiene una alta probabilidad de contraatacar y de evadir ataques.,Possède une forte chance de riposte et d'esquive.,有很高的反击机会和很高的逃避机会。
T_MICRO,Micro,Mikro,Micro,Micro,微
T_MILESTONE_DESCRIPTION,Clear level 25.,Schaffe Level 25.,Completa el nivel 25.,Compléter le niveau 25.,通关25级。
T_MINELAYER,Minelayer,Minenleger,Mouilleur de mines,Minador,布雷艇
T_MINELAYER_DESCRIPTION,Leave a shock mine whenever you move.,Hinterlasse eine Schockmine bei jeder Bewegung.,Laissez une mine de choc chaque fois que vous déménagez.,Deja una mina de shock cada vez que te muevas.,每当您移动时，都会留下震惊的地雷。
T_MILESTONE,Milestone,Meilenstein,Hito,Étape,里程碑
T_MOBILITY_SHOOTER,Mobility Shooter,Mobilmacher,Tirador Móvil,,移动射手
T_MODULE,Module,Modul,Módulo,Module,模块
T_MOMENTUM_BONUS_DESCRIPTION,Damage bonus gained each time you move. Resets at the end of the turn.,Schadensbonus nach jeder Bewegung. Wird am Ende der Runde zurückgesetzt.,Ganas una bonif. de daño cada vez que te mueves. Se restablece al final del turno.,"Donne un bonus dégâts pour chaque déplacement, réinitialisé à chaque début de tour.",每次移动时获得的伤害奖励。在回合结束时重置。
T_MOMENTUM_BONUS,Momentum Bonus,Momentum-Bonus,Bonificación de inercia,Bonus d'Impulsion,动量奖励
T_MOMENTUM,Momentum,Momentum,Inercia,Impulsion,动量
T_MOVE_ATTACK_DESCRIPTION,Default script. Move to a cardinally adjacent tile or attack the enemy on it.,Standard-Skript. Bewege dich auf ein benachbartes Feld oder greife den Feind auf diesem Feld an.,Script predeterminado. Muévete a una casilla en cruz adyacente o ataca al enemigo que esté en ella.,Script de base. Se déplacer ou attaquer un ennemi sur une case cardinalement adjacente.,默认脚本。移动到卡位相邻的牌，或攻击其上的敌人。
T_MOVE_ATTACK,Move/Attack,Bewegen/Angreifen,Moverse/Atacar,Bouger/Attaquer,移动/攻击
T_MUTE_IN_BACKGROUND,Mute in background,Stumm im Hintergrund,Silenciar al minimizar,Muet en arrière-plan,在背景中静音
T_MY_LITTLE_FRIEND,My Little Friend,Mein kleiner Freund,Mi pequeño amigo,Mon Petit Ami,我的小伙伴
T_MY_PRECIOUS,My Precious,Mein Schatz,Mi tesoro,Mon Précieux,我的宝贝儿
T_NEW_GAME,New Game,Neues Spiel,Partida nueva,Nouvelle Partie,新游戏
T_NORMAL_DESCRIPTION,Carry on loot between games.,Nimm Komponenten von Spiel zu Spiel mit.,Usa el botín de partidas anteriores,Conservez des composants d'une partie à l'autre.,在游戏之间携带战利品。
T_NORMAL,Normal,Normal,Normal,Normal,正常
T_NULLIFYING,Nullifying,Nullifiziernd,de Anulación,Annulant,无效的
T_OBLITERATING,Obliterating,Auslöschend,de Obliteración,Oblitérant,湮灭
T_OF_BALANCE,of Balance,des Gleichgewichts,del Equilibrio,d'Équilibre,平衡
T_OF_DARKNESS,of Darkness,der Dunkelheit,de Oscuridad,d'Obscurité,黑暗
T_OF_DEATH,of Death,des Todes,de Muerte,de la Mort,死亡
T_OF_DESTRUCTION,of Destruction,der Zerstörung,de Destrucción,de Destruction,毁灭
T_OF_DOOM,of Doom,des Verderbens,de Perdición,de Malheur,厄运
T_OF_EMPTINESS,of Emptiness,der Leere,de la Nada,du Néant,虚空
T_OF_INFINITY,of Infinity,der Unendlichkeit,de Infinidad,de l'Infini,无限
T_OF_OBLITERATION,of Obliteration,der Auslöschung,de Devastación,d’Oblitération,湮灭
T_OF_THE_VOID,of the Void,der Leere,del Vacío,du Vide,虚空
T_OFFLINE,Offline,Offline,Desconectado,Hors ligne,离线
T_ONE_HIT_WONDER_DESCRIPTION,Defeat an enemy with a single attack in level 25 or higher.,Besiege einen Gegner mit einem einzigen Angriff auf Level 25 or höher.,Derrota a un enemigo con un solo golpe en el nivel 25 o superior.,Vaincre un ennemi en une seule attaque dans les niveaux 25 ou plus.,在25级或更高等级时，用一次攻击击败一个敌人。
T_ONE_HIT_WONDER,One Hit Wonder,One Hit Wonder,Un golpe maravilloso,One-Hit-Wonder,一鸣惊人
T_ONLY_ALPHANUMERIC,Only alphanumeric characters allowed.,Nur alphanumerische Zeichen erlaubt.,Solo se permiten caracteres alfanuméricos.,Seuls les caractères alphanumériques sont autorisés.,只允许使用字母数字字符。
T_ORDNANCE,Ordnance,Geschütz,Ordenanza,Ordonnance,军械
T_OVERCLOCK,Overclock,Übertakten,Pirateo,Overclocker,超频
T_PACIFIST_DESCRIPTION,Beat level 1-25 without using damage scripts.,Besiege Level 1-25 ohne Schadensskripte zu benutzen.,Completa el nivel 1-25 sin usar scripts de daño.,Battre le niveau 1-25 sans utiliser de scripts de dégâts.,在不使用伤害脚本的情况下完成1-25级。
T_PACIFIST,Pacifist,Pazifist,Pacifista,Pacifiste,和平主义者
T_PATCH,Patch,Patch,Parche,Patch,补丁
T_PERFECTIONIST_DESCRIPTION,Fully augment every variable on a part.,Steigere jede Variable einer Komponente bis zum Limit.,Aumenta completamente cada variable de una parte.,Augmenter toutes les variables d'un composant au maximum.,充分扩增零件上的每个变量。
T_PERFECTIONIST,Perfectionist,Perfektionist,Perfeccionista,Perfectionniste,完美主义者
T_PILE_OF_CRAP_DESCRIPTION,Salvage 1000 parts.,Verwerte 1000 Komponenten.,Desmonta 1000 partes.,Recycler 1000 composants.,打捞出1000个零件。
T_PILE_OF_CRAP,Pile of Junk,Ein Haufen Schrott,Pila de basura,Tas de Ferraille,一堆废品
T_PITCH_BLACK,Pitch Black,Pechschwarz,Oscuro como la noche,Noir Absolu,沥青黑
T_PIXEL_PUSHER,Pixel Pusher,Pixel-Schieber,Empujapíxeles,Pousse-Pixels,像素推器
T_PLAY,Play,Spielen,Jugar,Jouer,玩
T_PLUMBUS,Plumbus,Plumbus,de Plomo,Plumbus,普朗普斯
T_PRISMATIC,Prismatic,Prismatisch,de Prisma,Prismatique,棱柱形
T_PROCESSOR,Processor,Prozessor,Procesador,Processeur,处理器
T_PUSH,Push,Schieben,Empuje,Pousser,推
T_QUANTUM,Quantum,Quanten,de Cuantos,Quantique,量子
T_QUANTUM_GATE,Quantum Gate,Quantentor,Puerta cuántica,Porte quantique,量子门
T_QUANTUM_GATE_DESCRIPTION,State uncertain. Input required.,Status unklar. Benötige Eingabe.,Estado incierto. Se requiere entrada.,État incertain. Entrée requise.,状态不确定。需要输入。
T_QUIT,Quit,Beenden,Salir,Quitter,退出
T_RANDOM_SCRIPT,Random Script,Zufälliges Skript,Script aleatorio,Script Aléatoire,随机脚本
T_RANDOM_VARIABLES,Random Variables,Zufällige Variablen,Variables aleatorias,Variables Aléatoires,随机变量
T_RANGED_ANNIHILATION_DESCRIPTION,Massive ranged area attack.,Massiver Fernkampf-Flächenangriff.,Ataque a distancia de gran área de efecto.,Attaque massive à distance et de zone.,大规模远程区域攻击。
T_RANGED_ANNIHILATION,Ranged Annihilation,Fernkampf-Vernichtung,Aniquilación a distancia,Annihilation de portée,远程歼灭
T_RANGED_BONUS_DESCRIPTION,Bonus damage for ranged scripts.,Bonusschaden für Fernkampfskripte.,Bonificación de daño para los scripts de daño a distancia.,Dégâts bonus pour les scripts de distance.,对范围内的脚本进行奖励伤害。
T_RANGED_BONUS,Ranged Bonus,Fernkampf-Bonus,Bonificación a distancia,Bonus de portée,远程攻击奖励
T_RANGED_CROSS_DESCRIPTION,Attack one and all cardinally adjacent enemies at range.,Greift einen und alle kardinal benachbarten Gegner aus der Ferne an.,Ataca a un enemigo a distancia y a todos los enemigos adjacentes en cruz a él.,Attaque un ennemi à distance et tous les ennemis cardinalement adjacents à la cible.,攻击范围内的一个和所有基质相邻的敌人。
T_RANGED_CROSS,Ranged Cross,Fernkampf-Kreuz,A distancia (cruz),Croix à distance,远程十字架
T_RANGED_DESCRIPTION,Attack one enemy at range.,Greift einen Gegner aus der Ferne an.,Ataca un enemigo a distancia.,Attaque un ennemi à distance.,攻击范围内的一个敌人。
T_RANGED_LIGHTNING_DESCRIPTION,Damage an enemy at range. Jumps to cardinally adjacent enemies.,Fügt einem Feind aus der Ferne Schaden zu. Springt auf kardinal benachbarte Feinde.,Ataca un enemigo a distancia. Salta a enemigos adyacentes en cruz.,"Endommage un ennemi à distance, puis tous les ennemis cardinalement adjacents.",伤害一个范围内的敌人。跳到基质相邻的敌人。
T_RANGED_LIGHTNING,Ranged Lightning,Fernkampf-Blitz,Relámpago a distancia,Éclair à distance,远程闪电
T_RANGED_PUSH_DESCRIPTION,Push an enemy at range.,Schiebe einen Feind aus der Ferne.,Empuja a un enemigo a distancia.,Pousse un ennemi à distance.,将敌人推到范围内。
T_RANGED_PUSH,Ranged Push,Fernkampf-Schub,Empuje a distancia,Télékinésie,远程推开
T_RANGED_ROUNDHOUSE_DESCRIPTION,Attack one and all adjacent enemies at range.,Greift einen und alle benachbarten Feinde in Reichweite an.,Ataca a un enemigo a distancia y a todos los enemigos adjacentes a él.,Attaque un ennemi à distance et tous les ennemis adjacents à la cible.,在范围内攻击一个和所有相邻的敌人。
T_RANGED_ROUNDHOUSE,Ranged Roundhouse,Fernkampf-Rundschlag,Barrido a distancia,Retournée à distance,远程攻击圆舞曲
T_RANGED,Ranged,Fernkampf,A distancia,À distance,远程攻击
T_RARITY_COMMON_DESCRIPTION,Rolls 1 random variable.,Hat 1 zufällige Variable.,Carga 1 variable aleatoria.,Ajoute une variable aléatoire.,轧制1个随机变量。
T_RARITY_COMMON,Common,Gewöhnlich,Común,Commun,常见的
T_RARITY_LEGENDARY_DESCRIPTION,Rolls 3 random or legendary variables.,Hat 3 zufällige oder legendäre Variablen.,Carga 3 variables aleatorias o legendarias,Ajoute 3 variables aléatoires.,轧制3个随机或传说中的变量。
T_RARITY_LEGENDARY,Legendary,Legendär,Legendario,Légendaire,传说中的
T_RARITY_RARE_DESCRIPTION,Rolls 2 random variables.,Hat 2 zufällige Variablen.,Carga 2 variables aleatorias.,Ajoute 2 variables aléatoires.,轧制2个随机变量。
T_RARITY_RARE,Rare,Selten,Raro,Rare,罕见的
T_RARITY_SET_DESCRIPTION,Rolls 3 random variables and grants set bonuses.,Würfelt 3 Zufallsvariablen und gewährt Set-Boni.,Carga 3 variables aleatorias y concede bonificaciones de conjunto.,Ajoute 3 variables aléatoires et confère un bonus de Set.,轧制3个随机变量，并给予设定的奖励。
T_RARITY_SET,Set,Set,Conjunto,Set,设置
T_RARITY_EPIC,Epic,Episch,Épica,Épique,史诗级
T_RARITY_EPIC_SET,Epic Set,Episches Set,Conjunto épico,Set Épique,史诗级套装
T_REACH_GATE_IN,Reach the gate,Erreiche das Tor,Llega a la puerta,Atteignez le portail,到达大门
T_REGENERATE_DESCRIPTION,Instantly regain some of your lost health. Only one use per level.,Gewinnt sofort einen Teil eurer verlorenen Gesundheit zurück. Nur einmal pro Level einsetzbar.,Recupera al instante parte de tu salud perdida. Solo puede usarse una vez por nivel.,Rend instantanément une partie des points de vie perdus. Une seule utilisation par niveau.,瞬间恢复你失去的部分健康。每个级别只能使用一次。
T_REGENERATE,Regenerate,Regenerieren,Regenerar,Régénération,再生
T_REGENERATION_DESCRIPTION,Amount of health you regain upon starting a level.,"Die Menge an Gesundheit, die du bei Beginn eines Levels wiedererlangst.",Cantidad de salud que recuperas al iniciar un nivel.,Quantité de points de vie récupérée au début d'un niveau.,你在开始一个级别时恢复的健康量。
T_REGENERATION,Regeneration,Regeneration,Regeneración,Régénération,再生
T_RELIABILITY_DESCRIPTION,Reduces the target's evade chance.,Verringert die Ausweichchance des Ziels.,Reduce la probabilidad de evasión del objetivo.,Réduit la chance d'esquiver de la cible.,减少目标的闪避机会。
T_RELIABILITY,Reliability,Verlässlichkeit,Fiabilidad,Fiabilité,可靠性
T_REPLACE,Replace,Ersetzen,Reemplazar,Remplacer,替换
T_REROLL_DESCRIPTION,Replace an variable with a random new one.,Ersetzt eine Variable durch eine zufällige neue Variable.,Sustituye una variable por otra aleatoria.,Remplace une variable par une nouvelle variable aléatoire.,用一个随机的新变量替换一个变量。
T_REROLL,Reroll,Austauschen,Reintento,Relancer,重新布局
T_RESISTANCE_DESCRIPTION,Reduces incoming damage. Increases damage if negative.,Verringert den eingehenden Schaden. Kann negativ sein und Schaden erhöhen.,Reduce el daño recibido. Lo aumenta si es negativo.,"Réduit les dommages reçus. Si négatif, les dommages reçus augmentent.",减少外来的伤害。如果是负面的，则增加伤害。
T_RESISTANCE_REDUCTION_DESCRIPTION,Flat reduction of the enemy's resistance.,Reduziert den gegnerischen Widerstand.,Reducción total de la resistencia del enemigo.,Réduction directe des résistances de l'ennemi.,扁平化减少敌人的防御力。
T_RESISTANCE_REDUCTION,Resistance Reduction,Widerstandsreduzierung,Reducción de resistencia,Réduction de Résistance,减少防御
T_RESISTANCE,Resistance,Widerstand,Resistencia,Résistance,防御
T_RICH_BITCH_DESCRIPTION,Start a run fully equipped from the archive.,Beginne ein Spiel mit voller Ausrüstung aus dem Archiv.,Juega una partida completamente equipado con elementos de tu archivo.,Commencer une partie en étant totalement équipé de composants issus de l'Archive.,从档案中启动完全配备的运行。
T_RICH_BITCH,Rich Glitch,Krösus,Ricachón,Crésus,富婆
T_ROGUELIKER_DESCRIPTION,Play 100 runs.,Spiele 100 Spiele.,Juega 100 partidas,Jouer 100 parties.,玩100次。
T_ROGUELIKER,Rogueliker,Rogueliker,Amante bandido,Roguelikeur,盗贼
T_ROLL_VALUE,Roll Value,Wert,Recargar valor,Valeur,轧制值
T_SALVAGE_LOOT,Auto-Salvage,Auto-Verwerten,Autodesmontar,Tout Recycler,汽车救援
T_SALVAGE,Salvage,Verwerten,Desmontar,Recycler,救援
T_SAVE_QUIT,Save & Quit,Speichern & Beenden,Guardar y salir,Sauver et Quitter,保存并退出
T_SCRIPT,Script,Skript,Script,Script,脚本
T_SCRIPTS,Scripts,Skripte,Scripts,Scripts,脚本
T_SCROOGE_DESCRIPTION,Save 25k kernels.,Spare 25k Kerne.,Almacena 25k de kernels.,Économiser 25000 Kernels.,保存25000个内核。
T_SCROOGE,Scrooge,Dagobert,Tacaño,Picsou,吝啬鬼
T_SECUREBOOT,SecureBoot,SecureBoot,Arranque seguro,Démarrage Sécurisé,安全启动
T_SET_BONUS,Set Bonus,Set-Bonus,Bonificación por conjunto,Bonus de Set,设定奖励
T_SETTINGS,Settings,Einstellungen,Ajustes,Options,设置
T_SEVEN_AT_ONE_BLOW_DESCRIPTION,Hit seven enemies with one damage script.,Triff sieben Gegner mit einem Schadensskript.,Golpea a 7 enemigos con un solo script de daño.,Toucher sept ennemis en un script d'attaque.,用一个伤害脚本击中七个敌人。
T_SEVEN_AT_ONE_BLOW,Seven at One Blow,Sieben auf einen Streich,El 7 de la suerte,Sept d'un coup,七个一击即中
T_SHIELDS_DESCRIPTION,"Reduces incoming damage, refreshes at the start of each turn.","Verringert eingehenden Schaden, wird zu Beginn jeder Runde aufgefrischt.",Reduce el daño recibido. Se reinicia al comienzo de cada turno.,"Réduit les dommages reçus, se réinitialise à chaque début de tour.",减少外来伤害，在每个回合开始时刷新。
T_SHIELDS_FULL_DESCRIPTION,Charge your shields to 100% capacity.,Lädt Schilde auf 100% Kapazität auf.,Carga tus escudos al 100 % de su capacidad.,Charge vos boucliers à 100% de capacité.,将你的护盾充电到100%的容量。
T_SHIELDS_FULL,Shields Full,Volle Schilde,Escudos al máximo,Boucliers Complets,全护盾
T_SHIELDS_HALF_DESCRIPTION,Charge your shields to 50% capacity.,Lädt Schilde auf 50% Kapazität auf.,Carga tus escudos al 50 % de su capacidad.,Charge vos boucliers à une capacité de 50%.,给你的护盾充电到50%的容量。
T_SHIELDS_HALF,Shields Half,Halbe Schilde,Escudos a la mitad,Demi Boucliers,半护盾
T_SHIELDS,Shields,Schilde,Escudos,Boucliers,护盾
T_SHINY_HINEY_DESCRIPTION,Install a legendary or set part in every slot.,Installiere eine legendäre oder Set-Komponente in jedem Steckplatz.,Instala una parte o conjunto legendario en cada ranura.,Installer un composant Légendaire ou de Set dans chaque emplacement.,在每个插槽中安装一个传说中的或成套的零件。
T_SHINY_HINEY,Shiny Hiney,Vollmontur,Tan brillante,Étincelant,闪亮的海尼
T_SHOP,Shop,Shop,Tienda,Marchand,店铺
T_SKIP,Skip,Überspringen,Saltar,Sauter,跳过
T_SKIP_CONFIRMATION_BUTTONS,Skip confirmation buttons,Bestätigungs-Buttons überspringen,Saltar botones de confirmación,Désactiver les boutons de confirmation,跳过确认按钮
T_SKIP_LEVEL_CLEAR,Skip level clear screen,Level-Abschluss-Bildschirm überspringen,Saltar pantalla de nivel completado,Sauter les écrans de fin de niveau,跳过级别清除屏幕
T_SLOT,Slot,Steckplatz,Ranura,Emplacement,槽位
T_START_RUN,Start Run,Spiel starten,Iniciar ejecución,Démarrer la partie,开始运行
T_STATIONARY_BONUS_DESCRIPTION,Damage bonus gained each turn you stay on the spot. Resets upon moving. Capped at 3 turns.,"Schadensbonus pro Runde, die du auf der Stelle bleibst. Wird bei Bewegung zurückgesetzt. Begrenzt auf 3 Runden.",Bonificación de daño obtenida por cada turno que estés quieto (hasta un máx.de 3 turnos). Se reinicia al moverte.,Bonus de dégâts obtenus pour chaque tour sans aucun déplacement. Se réinitialise après un déplacement. Limité à 3 tours.,在原地停留的每一回合获得伤害奖励。移动时重置。上限3个回合。
T_SOLO_INTRO,"This game is mostly made by one person. 
Please help me make it the best it can be!

Join the Discord community to get help, report bugs and share your ideas for the game.","Dieses Spiel wird fast nur von einer Person entwickelt. Hilf mir, es besser zu machen!

Tritt der Discord-Community bei um Bugs zu melden, Hilfe zu bekommen und deine Ideen zu teilen!","Este juego ha sido desarrollado principalmente por una sola persona.
Por favor, ayúdame a que sea lo mejor posible.

Únete a la comunidad de Discord para recibir ayuda, informar de errores y compartir tus ideas sobre el juego.","Ce jeu est le fruit du labeur d'une seule personne ou presque.

Aidez-moi à l'améliorer et à en faire le meilleur jeu possible !

Rejoignez la communauté sur Discord pour recevoir de l'aide, soumettre un rapport de bug et partagez vos idées pour le jeu !
","这个游戏主要由独立开发者制作。
请帮助我使它成为最好的游戏!

加入Discord社区，获得帮助、举报错误并分享你对游戏的想法。"
T_STATIONARY_BONUS,Stationary Bonus,Unbeweglich-Bonus,Bonif. estacionaria,Bonus Stationnaire,固定奖金
T_STATIONARY_DESCRIPTION,Beat a level without moving.,"Schaffe ein Level, ohne dich zu bewegen.",Completa un nivel sin moverte.,Compléter un niveau sans vous déplacer.,不动声色地完成关卡。
T_STATIONARY,Stationary,Unbeweglich,Estacionario,Stationnaire,固定
T_STORY,Story,Story,Historia,Histoire,故事
T_STORY_UNREAD,Unread,Ungelesen,No leídas,Non lu,未读
T_STORY_EVERYTHING,Everything,Alles,Todo,Tout,一切
T_STYGIAN,Stygian,Unterweltlich,de Estigia,Stygien,冥界
T_SUPREME,Supreme,Oberstes,de Supremacía,Suprême,最高
T_SURVIVE_FOR,Survive for,Überlebe für,Sobrevive durante,Survivre pendant,生存
T_SWITCHEROO_DESCRIPTION,Reroll variables on a single item 25 times.,Reroll-Variablen auf einen einzigen Gegenstand 25 Mal.,Recarga las variables de un solo objeto 25 veces.,Relancer les variables 25 fois sur un même objet.,在一个项目上重掷变量25次。
T_SWITCHEROO,Switcheroo,Feintuning,Trueque,Magouille,突变
T_TALION,Talion,Talion,del Talión,Talion,塔利昂
T_TANKY_DESCRIPTION,Survive 10 hits in one turn.,Überlebe 10 Treffer in einer Runde.,Sobrevive a 10 ataques en un solo turno.,Surviver à 10 attaques en un seul tour.,在一个回合中生存10次命中。
T_TANKY,Tanky,Langlebig,Tanque,Blindé,坦克
T_TELEPORT_DESCRIPTION,Instantly move to any free tile on the map.,Bewege dich sofort auf ein beliebiges freies Feld auf der Karte.,Muévete instantáneamente a cualquier casilla libre del mapa.,Vous déplace instantanément sur n’importe quelle case vide du niveau.,瞬间移动到地图上的任何空瓷砖。
T_TELEPORT,Teleport,Teleportieren,Teletransporte,Téléporter,传送
